Time (ms),TCP_x (mm),TCP_y (mm),TCP_z (mm),TCP_rx (mm),TCP_ry (mm),TCP_rz (mm),Robot_I (A)
1.002999999999929,258.9,-749.9,179.1,1.232,1.178,-1.206,1.0619759294995716
3.002999999999929,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1299942999207444
5.002999999999929,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1741797571955188
7.002999999999929,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1990012054495416
9.002999999999929,258.9,-749.9,179.1,1.232,1.178,-1.206,1.2089275488084597
11.002999999999929,258.9,-749.9,179.1,1.232,1.178,-1.206,1.2084276913979222
13.002999999999929,258.9,-749.9,179.1,1.232,1.178,-1.206,1.2039535700726625
15.002999999999929,258.9,-749.9,179.1,1.232,1.178,-1.206,1.198000000000003
17.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.198000000000003
19.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.198000000000003
21.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.198000000000003
23.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.198000000000003
25.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.198000000000003
27.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.198000000000003
29.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.199006154125784
31.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.199761273048847
33.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.199286522208218
35.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.195877546645294
37.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1903696902897203
39.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1836021139806578
41.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1764139785572674
43.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.16964444485871
45.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1641326737241466
47.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1607178259927375
49.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.160239062503644
51.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1609922100558583
53.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1619984900138212
55.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.162000000000003
57.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1649797659205041
59.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1672131004779196
61.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1628265953434778
63.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1534752621721898
65.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1408141126190672
67.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1264802842132484
69.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.10027079560275
71.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.0906066654355924
73.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.0958328820567635
75.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.114294433811252
77.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1443385333763527
79.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.181221642886248
81.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.2123477223052874
83.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.22862189651609
85.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.229205004679495
87.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.2132578859563417
89.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1799865613256497
91.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.158614991160381
93.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1397128896089845
95.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1228236064349204
97.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.11701896776104
99.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1239483626245796
101.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1340231735914603
103.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.14087672857408
105.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1481373927056797
107.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1535215183349279
109.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1580465314242232
111.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1637947085430858
113.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1691343480598135
115.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.172441176299108
117.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1794981838238496
119.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1865583280772682
121.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.195731823690798
123.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1996066069418398
125.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.198178971269024
127.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1914489166723503
129.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1831267073748393
131.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1758662460854212
133.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1690141175183648
135.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.163386172489521
137.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.15979826181474
139.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1590662363098736
141.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1619985336680325
143.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.162000000000003
145.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.162000000000003
147.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.162000000000003
149.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.162000000000003
151.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.162000000000003
153.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.162000000000003
155.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.162000000000003
157.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.162000000000003
159.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1620014674308985
161.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1634685314685345
163.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.1645673111134047
165.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.162404847879245
167.00299999999993,258.9,-749.9,179.1,1.232,1.178,-1.206,1.157795137912303
